Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
Q9NXW9	ALKBH4								
Q6P6C2	ALKBH5	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q3KRA9	ALKBH6								
Q9BT30	ALKBH7	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q96BT7	ALKBH8					Nucleus			
Q8N6M5	ALLC								
Q8TCU4	ALMS1								
Q96L16	ALMS1P								
P18054	ALOX12								
O75342	ALOX12B	cytosol	cytosol	cytosol	cytosol		cytosol		
P16050	ALOX15								
O15296	ALOX15B						cytosol		
P09917	ALOX5								
P20292	ALOX5AP								
Q9BYJ1	ALOXE3	cytosol	cytosol	cytosol	cytosol				
P09923	ALPI	PM	PM	PM	PM				
Q96QP1	ALPK1						CS		
Q86TB3	ALPK2			Nucleus	Nucleus				
Q96L96	ALPK3	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
P05186	ALPL	PM		PM	PM	cytosol		PM	PM
P05187	ALPP	PM	PM	PM	PM				
P10696	ALPPL2	PM	PM	PM	PM				
Q96Q42	ALS2						CS		
Q60I27	ALS2CL			cytosol	cytosol				
Q53TS8	ALS2CR11								
Q96Q35	ALS2CR12								
Q15699	ALX1			Nucleus	Nucleus				
O95076	ALX3	Nucleus	Nucleus	Nucleus	Nucleus				
Q9H161	ALX4	Nucleus	Nucleus	Nucleus	Nucleus				
Q86V81	ALYREF	Nucleus		Nucleus		Nucleus			Nucleus
Q9UHK6	AMACR	Peroxisome		Peroxisome			PM	Peroxisome	Peroxisome
Q9NP70	AMBN								
P02760	AMBP								
Q9C0C7	AMBRA1								
P17707	AMD1			cytosol	cytosol				
Q96NU7	AMDHD1			cytosol	cytosol				
Q9Y303	AMDHD2			Nucleus	Nucleus				
Q99217	AMELX								
Q99218	AMELY								
Q5JTC6	AMER1								
Q8N7J2	AMER2	PM	PM	PM	PM				
Q8N944	AMER3	PM	PM	PM	PM				
Q9UKV5	AMFR			ER	ER				
P03971	AMH								
Q16671	AMHR2			PM	PM				
Q86YT9	AMICA1								
Q86WK6	AMIGO1						Nucleus		
Q86SJ2	AMIGO2								
Q86WK7	AMIGO3								
Q9Y4X0	AMMECR1								
Q6DCA0	AMMECR1L								
Q9BXJ7	AMN						Nucleus		
Q8IY45	AMN1						CS		
Q4VCS5	AMOT								
Q8IY63	AMOTL1			CS	CS	CS			
Q9Y2J4	AMOTL2			endosome	endosome		CS		
P23109	AMPD1			cytosol	cytosol				
Q01433	AMPD2			cytosol	cytosol	cytosol			
Q01432	AMPD3			cytosol	cytosol				
P49418	AMPH								
P48728	AMT	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q6UX39	AMTN								
P04745	AMY1A AMY1B AMY1C								
P04746	AMY2A								
P19961	AMY2B								
Q400G9	AMZ1								
Q86W34	AMZ2					Nucleus			
Q9H1A4	ANAPC1								
Q9UM13	ANAPC10								
Q9NYG5	ANAPC11					Nucleus			
Q9BS18	ANAPC13			Nucleus	Nucleus				
P60006	ANAPC15								
Q96DE5	ANAPC16					cytosol			
Q9UJX6	ANAPC2					Nucleus			
Q9UJX5	ANAPC4						CS		
Q9UJX4	ANAPC5						Nucleus		
Q9UJX3	ANAPC7								
P03950	ANG								
Q9UNK9	ANGEL1						Nucleus		
Q5VTE6	ANGEL2								
Q15389	ANGPT1								
O15123	ANGPT2								
Q9Y264	ANGPT4						Nucleus		
O95841	ANGPTL1								
Q9UKU9	ANGPTL2								
Q9Y5C1	ANGPTL3								
Q9BY76	ANGPTL4								
Q86XS5	ANGPTL5								
Q8NI99	ANGPTL6								
O43827	ANGPTL7								
E9PGG2	ANHX	Nucleus	Nucleus	Nucleus	Nucleus				
P16157	ANK1								
Q01484	ANK2								
Q12955	ANK3						PM		
Q7Z5J8	ANKAR								
Q495B1	ANKDD1A						Nucleus		
A6NHY2	ANKDD1B								
Q9NU02	ANKEF1								
Q8N957	ANKFN1						Nucleus		
Q9P2R3	ANKFY1			lysosome	lysosome				
Q9HCJ1	ANKH			PM	PM		cytosol		
Q8IWZ3	ANKHD1			cytosol	cytosol				
Q9P2G1	ANKIB1			cytosol	cytosol				
Q8NFD2	ANKK1								
Q8NAG6	ANKLE1								
Q86XL3	ANKLE2	ER	ER	ER	ER			ER	ER
Q9P2S6	ANKMY1								
Q8IV38	ANKMY2			CS	CS		CS		
Q9H9E1	ANKRA2								
Q15327	ANKRD1			Nucleus	Nucleus	Nucleus			
Q9NXR5	ANKRD10						CS		
Q6UB99	ANKRD11			Nucleus	Nucleus				
Q6UB98	ANKRD12			Nucleus	Nucleus				
Q8IZ07	ANKRD13A	PM	PM	PM	PM	PM			
Q86YJ7	ANKRD13B			PM	PM				
Q8N6S4	ANKRD13C								
Q6ZTN6	ANKRD13D	PM	PM	PM	PM				
Q6P6B7	ANKRD16								
O75179	ANKRD17	ribosome		ribosome					Ribosome
Q8IVF6	ANKRD18A								
A2A2Z9	ANKRD18B								
Q9H560	ANKRD19P								
Q9GZV1	ANKRD2								
Q5TYW2	ANKRD20A1			PM	PM				
Q5SQ80	ANKRD20A2								
Q5VUR7	ANKRD20A3								
Q4UJ75	ANKRD20A4								
A0PJZ0	ANKRD20A5P								
Q5CZ79	ANKRD20A8P								
Q5VYY1	ANKRD22						Nucleus		
Q86SG2	ANKRD23								
Q8TF21	ANKRD24						CS		
Q9UPS8	ANKRD26			CS	CS		Golgi		
Q6NSI1	ANKRD26P1								
Q96NW4	ANKRD27	Endosome		Endosome		cytosol			Endosome
O15084	ANKRD28	Cytosol		Cytosol	Nucleus				Cytosol
Q8N6D5	ANKRD29								
Q9BXX3	ANKRD30A			Nucleus	Nucleus				
Q9BXX2	ANKRD30B								
A7E2S9	ANKRD30BL								
Q8N7Z5	ANKRD31								
Q9BQI6	ANKRD32						Nucleus		
Q7Z3H0	ANKRD33								
A6NCL7	ANKRD33B						Mitochondrion		
Q69YU3	ANKRD34A					cytosol			
A5PLL1	ANKRD34B								
P0C6C1	ANKRD34C						Mitochondrion		
Q8N283	ANKRD35								
A6QL64	ANKRD36								
Q8N2N9	ANKRD36B								
Q96IX9	ANKRD36BP1								
Q5JPF3	ANKRD36C								
Q7Z713	ANKRD37								
Q53RE8	ANKRD39								
Q6AI12	ANKRD40								
Q8N9B4	ANKRD42								
Q8N8A2	ANKRD44								
Q5TZF3	ANKRD45								
Q86W74	ANKRD46	ER		ER					ER
Q8WVL7	ANKRD49	Nucleus	Nucleus	Nucleus	Nucleus				
Q9ULJ7	ANKRD50	endosome	endosome	endosome	endosome				
Q8NB46	ANKRD52								
Q8N9V6	ANKRD53								
Q6NXT1	ANKRD54								
Q3KP44	ANKRD55								
Q9Y2G4	ANKRD6								
Q9BZ19	ANKRD60								
A6NGH8	ANKRD61								
A6NC57	ANKRD62								
C9JTQ0	ANKRD63								
E5RJM6	ANKRD65						Nucleus		
B4E2M5	ANKRD66								
Q92527	ANKRD7						Nucleus		
Q96BM1	ANKRD9								
Q92625	ANKS1A			CS	CS				
Q7Z6G8	ANKS1B								
Q6ZW76	ANKS3								
Q8N8V4	ANKS4B								
Q68DC2	ANKS6			CS	CS				
A6NFN9	ANKUB1								
Q9H8Y5	ANKZF1								
Q9NQW6	ANLN					Nucleus			
Q5XXA6	ANO1								
Q9NW15	ANO10			PM	PM				
Q9NQ90	ANO2			PM	PM				
Q9BYT9	ANO3			PM	PM				
Q32M45	ANO4			PM	PM				
Q75V66	ANO5								
Q4KMQ2	ANO6	PM		PM	PM				PM
Q6IWH7	ANO7								
Q9HCE9	ANO8			PM	PM		Nucleus		
A1A5B4	ANO9			PM	PM				
P39687	ANP32A								
Q92688	ANP32B								
O43423	ANP32C								
O95626	ANP32D								
Q9BTT0	ANP32E								
P15144	ANPEP	PM		PM					PM
Q9H6X2	ANTXR1			PM	PM				
P58335	ANTXR2								
A6NF34	ANTXRL								
P04083	ANXA1								
Q9UJ72	ANXA10			Mitochondrion	Mitochondrion				
P50995	ANXA11								
P27216	ANXA13			PM	PM	PM			
P07355	ANXA2	CS		CS					CS
A6NMY6	ANXA2P2								
Q3ZCQ2	ANXA2R								
P12429	ANXA3					cytosol			
P09525	ANXA4	Cytosol		Cytosol			cytosol		Cytosol
P08758	ANXA5	Cytosol		Cytosol		Nucleus			Cytosol
P08133	ANXA6	Cytosol		Cytosol					Cytosol
P20073	ANXA7	Cytosol		Cytosol					Cytosol
P13928	ANXA8						Nucleus		
Q5T2P8	ANXA8L1								
Q5VT79	ANXA8L2						Nucleus		
O76027	ANXA9								
P28039	AOAH								
P19801	AOC1								
O75106	AOC2								
Q16853	AOC3			PM	PM				
Q8N6M6	AOPEP			cytosol	cytosol				
Q06278	AOX1	cytosol	cytosol	cytosol	cytosol	cytosol			
Q63HQ0	AP1AR					Golgi			
Q10567	AP1B1					Golgi			
O43747	AP1G1								
O75843	AP1G2								
Q9BXS5	AP1M1								
Q9Y6Q5	AP1M2								
P61966	AP1S1	Endosome		Endosome		Golgi			Endosome
P56377	AP1S2								
Q96PC3	AP1S3								
O95782	AP2A1								
O94973	AP2A2								
P63010	AP2B1								
Q96CW1	AP2M1					PM			
P53680	AP2S1								
O00203	AP3B1								
Q13367	AP3B2								
O14617	AP3D1					Nucleus			
Q9Y2T2	AP3M1								
P53677	AP3M2								
Q92572	AP3S1								
P59780	AP3S2								
Q9Y6B7	AP4B1								
Q9UPM8	AP4E1						cytosol		
O00189	AP4M1								
Q9Y587	AP4S1								
Q2VPB7	AP5B1			lysosome	lysosome				
Q9H0R1	AP5M1								
Q9NUS5	AP5S1								
O43299	AP5Z1					Nucleus			
O14727	APAF1			cytosol	cytosol				
Q02410	APBA1								
Q99767	APBA2								
O96018	APBA3								
O00213	APBB1					PM			
Q7Z5R6	APBB1IP			CS	CS				
Q92870	APBB2						Mitochondrion		
O95704	APBB3					CS			
P25054	APC								
O95996	APC2								
Q8J025	APCDD1	PM	PM	PM	PM				
Q8NCL9	APCDD1L								
P02743	APCS								
P13798	APEH			cytosol	cytosol	cytosol			
P0DMC3	APELA								
P27695	APEX1	Nucleus		nucleus		Nucleus			Nucleus
Q9UBZ4	APEX2								
Q96BI3	APH1A								
Q8WW43	APH1B								
Q9BZZ5	API5	Nucleus		Nucleus		Nucleus			Nucleus
Q96GX9	APIP	cytosol	cytosol	cytosol	cytosol				
Q8N2Z9	APITD1								
Q8IW19	APLF					Nucleus			
Q9ULZ1	APLN								
P35414	APLNR	PM	PM	PM	PM				
P51693	APLP1								
Q06481	APLP2								
Q9HDC9	APMAP	ER		ER					ER
P02647	APOA1								
Q8NCW5	APOA1BP	Mitochondrion		Mitochondrion					Mitochondrion
P02652	APOA2								
P06727	APOA4								
Q6Q788	APOA5								
P04114	APOB								
P41238	APOBEC1			cytosol	cytosol				
Q9Y235	APOBEC2								
P31941	APOBEC3A								
Q9UH17	APOBEC3B	Nucleus	Nucleus	Nucleus	Nucleus				
Q9NRW3	APOBEC3C								
Q96AK3	APOBEC3D			CS	CS				
Q8IUX4	APOBEC3F			CS	CS				
Q9HC16	APOBEC3G								
Q6NTF7	APOBEC3H								
Q8WW27	APOBEC4						Nucleus		
Q0VD83	APOBR	PM	PM	PM	PM				
P02654	APOC1			ER	ER				
P02655	APOC2								
P02656	APOC3								
P55056	APOC4								
P05090	APOD								
P02649	APOE								
Q13790	APOF								
P02749	APOH					Golgi			
O14791	APOL1						cytosol		
Q9BQE5	APOL2	cytosol	cytosol	cytosol	cytosol				
O95236	APOL3			cytosol	cytosol				
Q9BPW4	APOL4								
Q9BWW9	APOL5			cytosol	cytosol				
Q9BWW8	APOL6			cytosol	cytosol				
Q96LR9	APOLD1			PM	PM				
O95445	APOM					Golgi			
Q9BUR5	APOO	Mitochondrion		Mitochondrion					Mitochondrion
Q6UXV4	APOOL	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion		Mitochondrion
Q96IL0	APOPT1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P05067	APP					Golgi			
Q92624	APPBP2					cytosol			
Q9UKG1	APPL1	Cytosol		Cytosol					Cytosol
Q8IVJ8	APRG1								
P07741	APRT	Cytosol		Cytosol	cytosol				Cytosol
Q7Z2E3	APTX					Nucleus			
P29972	AQP1			PM	PM	PM			
Q96PS8	AQP10			PM	PM				
Q8NBQ7	AQP11								
Q8IXF9	AQP12A								
A6NM10	AQP12B								
P41181	AQP2								
Q92482	AQP3			PM	PM				
P55087	AQP4								
P55064	AQP5			PM	PM				
Q13520	AQP6								
O14520	AQP7								
A6NL99	AQP7P3								
O94778	AQP8			PM	PM				
O43315	AQP9								
Q6Q4G3	AQPEP								
O60306	AQR	Nucleus		Nucleus	Nucleus				Nucleus
P10275	AR								
P10398	ARAF	CS		CS	cytosol				CS
Q96P48	ARAP1								
Q8WZ64	ARAP2	cytosol	cytosol	cytosol	cytosol				
Q8WWN8	ARAP3								
Q7LC44	ARC								
P48444	ARCN1					Golgi			
P15514	AREG AREGB								
O15033	AREL1	cytosol	cytosol	cytosol	cytosol				
P84077	ARF1								
P61204	ARF3								
P18085	ARF4	Cytosol		Cytosol	Golgi				Cytosol
P84085	ARF5								
P62330	ARF6	PM		PM					PM
Q8N6T3	ARFGAP1								
Q8N6H7	ARFGAP2					Golgi			
Q9NP61	ARFGAP3								
Q9Y6D6	ARFGEF1								
Q9Y6D5	ARFGEF2								
Q5TH69	ARFGEF3								
P53367	ARFIP1								
P53365	ARFIP2								
Q13795	ARFRP1	Golgi	Golgi	Golgi	Golgi	Golgi			
P05089	ARG1			cytosol	cytosol		Nucleus		
P78540	ARG2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
A6NJG6	ARGFX	Nucleus	Nucleus	Nucleus	Nucleus				
Q9NWB6	ARGLU1								
Q07960	ARHGAP1	Cytosol		Cytosol	cytosol				Cytosol
A1A4S6	ARHGAP10								
Q6P4F7	ARHGAP11A			cytosol	cytosol				
Q3KRB8	ARHGAP11B			cytosol	cytosol				
Q8IWW6	ARHGAP12	PM		PM	cytosol				PM
Q53QZ3	ARHGAP15								
Q68EM7	ARHGAP17								
Q8N392	ARHGAP18	cytosol	cytosol	cytosol	cytosol				
Q14CB8	ARHGAP19			Nucleus	Nucleus				
Q9P2F6	ARHGAP20			cytosol	cytosol				
Q5T5U3	ARHGAP21								
Q7Z5H3	ARHGAP22								
Q9P227	ARHGAP23			cytosol	cytosol				
Q8N264	ARHGAP24			CS	CS				
P42331	ARHGAP25			cytosol	cytosol				
Q9UNA1	ARHGAP26	CS	CS	CS	CS		cytosol		
Q6ZUM4	ARHGAP27								
Q9P2N2	ARHGAP28								
Q52LW3	ARHGAP29			cytosol	cytosol				
Q7Z6I6	ARHGAP30								
Q2M1Z3	ARHGAP31	CS	CS	CS	CS				
A7KAX9	ARHGAP32								
O14559	ARHGAP33								
Q9NRY4	ARHGAP35								
Q6ZRI8	ARHGAP36			cytosol	cytosol				
Q9C0H5	ARHGAP39	PM		PM	Nucleus				PM
P98171	ARHGAP4								
Q5TG30	ARHGAP40			cytosol	cytosol				
A6NI28	ARHGAP42						Nucleus		
Q17R89	ARHGAP44								
Q13017	ARHGAP5								
Q96IT6	ARHGAP5-AS1								
O43182	ARHGAP6	cytosol	cytosol	cytosol	cytosol				
P85298	ARHGAP8			cytosol	cytosol		Nucleus		
Q9BRR9	ARHGAP9			cytosol	cytosol				
P52565	ARHGDIA	Cytosol	cytosol	Cytosol	cytosol	cytosol			Cytosol
P52566	ARHGDIB			cytosol	cytosol	cytosol			
Q99819	ARHGDIG			cytosol	cytosol				
O15013	ARHGEF10			CS	CS		Nucleus		
Q9HCE6	ARHGEF10L	cytosol	cytosol	cytosol	cytosol				
O15085	ARHGEF11								
Q9NZN5	ARHGEF12								
O94989	ARHGEF15			CS	CS				
Q5VV41	ARHGEF16	cytosol	cytosol	cytosol	cytosol				
Q96PE2	ARHGEF17			cytosol	cytosol		cytosol		
Q6ZSZ5	ARHGEF18					cytosol			
Q8IW93	ARHGEF19						Nucleus		
Q92974	ARHGEF2					Nucleus			
Q86VW2	ARHGEF25								
Q96DR7	ARHGEF26	CS	CS	CS	CS				
Q8N1W1	ARHGEF28								
Q9NR81	ARHGEF3	cytosol	cytosol	cytosol	cytosol				
A8MVX0	ARHGEF33								
A5YM69	ARHGEF35								
A1IGU5	ARHGEF37			cytosol	cytosol				
Q9NXL2	ARHGEF38			cytosol	cytosol				
Q8N4T4	ARHGEF39	PM	PM	PM	PM				
Q9NR80	ARHGEF4								
Q8TER5	ARHGEF40			cytosol	cytosol	Nucleus			
Q12774	ARHGEF5								
Q15052	ARHGEF6			CS	CS		cytosol		
Q14155	ARHGEF7			CS	CS				
O43307	ARHGEF9	cytosol	cytosol	cytosol	cytosol	cytosol			
O14497	ARID1A	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
Q8NFD5	ARID1B			Nucleus	Nucleus	Nucleus			
Q68CP9	ARID2			Nucleus	Nucleus				
Q99856	ARID3A								
Q8IVW6	ARID3B	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
A6NKF2	ARID3C			Nucleus	Nucleus				
P29374	ARID4A	Nucleus	Nucleus	Nucleus	Nucleus				
Q4LE39	ARID4B								
Q03989	ARID5A	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q14865	ARID5B	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q9Y4X5	ARIH1	cytosol	cytosol	cytosol	cytosol				
O95376	ARIH2								
Q8N7S6	ARIH2OS								
P40616	ARL1					Golgi			
Q8N8L6	ARL10								
Q969Q4	ARL11						CS		
Q5H913	ARL13A								
Q3SXY8	ARL13B	PM		PM			CS		PM
Q8N4G2	ARL14								
Q8N8R7	ARL14EP	cytosol	cytosol	cytosol	cytosol				
P0DKL9	ARL14EPL								
Q9NXU5	ARL15	PM		PM					PM
Q0P5N6	ARL16								
Q8IVW1	ARL17A ARL17B								
P36404	ARL2								
Q9Y2Y0	ARL2BP								
P36405	ARL3	Cytosol		Cytosol					Cytosol
P40617	ARL4A								
P56559	ARL4C								
P49703	ARL4D								
Q9Y689	ARL5A								
Q96KC2	ARL5B								
A6NH57	ARL5C								
Q9H0F7	ARL6								
Q15041	ARL6IP1						ER		
Q66PJ3	ARL6IP4	Nucleus	Nucleus	nucleus	Nucleus				
O75915	ARL6IP5	ER		ER		ER			ER
Q8N6S5	ARL6IP6								
Q96BM9	ARL8A	Endosome		Endosome	endosome			Endosome	Endosome
Q9NVJ2	ARL8B								
Q6T311	ARL9								
Q9NVT9	ARMC1	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion
Q8N2F6	ARMC10	Mitochondrion		Mitochondrion	ER	Mitochondrion			Mitochondrion
Q5T9G4	ARMC12			Nucleus	Nucleus				
Q8NEN0	ARMC2						Nucleus		
Q5W041	ARMC3								
Q5T2S8	ARMC4			CS	CS	Nucleus			
Q96C12	ARMC5	cytosol	cytosol	cytosol	cytosol				
Q6NXE6	ARMC6	Cytosol		Cytosol		cytosol			Cytosol
Q9H6L4	ARMC7			cytosol	cytosol	cytosol			
Q8IUR7	ARMC8								
Q7Z3E5	ARMC9								
Q9P291	ARMCX1								
Q7L311	ARMCX2	Mitochondrion		Mitochondrion					Mitochondrion
Q9UH62	ARMCX3			Mitochondrion	Mitochondrion				
Q5H9R4	ARMCX4								
Q6P1M9	ARMCX5								
Q7L4S7	ARMCX6								
P0C7Q2	ARMS2	cytosol	cytosol	cytosol	cytosol				
P27540	ARNT			Nucleus	Nucleus	Nucleus			
Q9HBZ2	ARNT2			Nucleus	Nucleus				
O00327	ARNTL								
Q8WYA1	ARNTL2			Nucleus	Nucleus	Nucleus			
Q92747	ARPC1A			CS	CS				
O15143	ARPC1B	CS	CS	CS	CS				
O15144	ARPC2								
O15145	ARPC3			CS	CS		Nucleus		
P59998	ARPC4	CS	CS	CS	CS				
O15511	ARPC5	CS	CS	CS	CS				
Q9BPX5	ARPC5L	CS	CS	CS	CS				
Q7Z6K5	ARPIN			CS	CS				
P56211	ARPP19			cytosol	cytosol				
Q9UBL0	ARPP21	cytosol	cytosol	cytosol	cytosol				
P36575	ARR3								
P49407	ARRB1					Nucleus			
P32121	ARRB2								
Q8N5I2	ARRDC1								
Q9H2J1	ARRDC1-AS1								
Q8TBH0	ARRDC2								
Q96B67	ARRDC3								
Q8NCT1	ARRDC4								
A6NEK1	ARRDC5								
P15289	ARSA			lysosome	lysosome				
P15848	ARSB								
P51689	ARSD			lysosome	lysosome				
P51690	ARSE			Golgi	Golgi				
P54793	ARSF			ER	ER		cytosol		
Q96EG1	ARSG								
Q5FYA8	ARSH			ER	ER				
Q5FYB1	ARSI			ER	ER		Golgi		
Q5FYB0	ARSJ			ER	ER				
Q6UWY0	ARSK			ER	ER				
P52961	ART1								
Q13508	ART3	PM	PM	PM	PM				
Q93070	ART4	PM	PM	PM	PM				
Q96L15	ART5								
Q5T4W7	ARTN								
Q9H2C2	ARV1	ER		ER					ER
O00192	ARVCF	PM		PM					PM
Q96QS3	ARX	Nucleus	Nucleus	Nucleus	Nucleus				
Q9HBK9	AS3MT			cytosol	cytosol		Nucleus		
Q13510	ASAH1	Lysosome		Lysosome	lysosome			Lysosome	Lysosome
Q9NR71	ASAH2						CS		
P0C7U1	ASAH2B						CS		
P0C7U2	ASAH2C								
Q9ULH1	ASAP1								
O43150	ASAP2	PM		PM		cytosol			PM
Q8TDY4	ASAP3	cytosol	cytosol	cytosol	cytosol				
Q9Y576	ASB1						Nucleus		
Q8WXI3	ASB10								
Q8WXH4	ASB11								
Q8WXK4	ASB12								
Q8WXK3	ASB13								
A6NK59	ASB14								
Q8WXK1	ASB15								
Q96NS5	ASB16								
Q495Z4	ASB16-AS1								
Q8WXJ9	ASB17								
Q6ZVZ8	ASB18								
Q96Q27	ASB2								
Q9Y575	ASB3								
Q9Y574	ASB4								
Q8WWX0	ASB5								
Q9NWX5	ASB6	cytosol	cytosol	cytosol	cytosol				
Q9H672	ASB7								
Q9H765	ASB8	cytosol	cytosol	cytosol	cytosol				
Q96DX5	ASB9	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q8N9N2	ASCC1			cytosol	cytosol				
Q9H1I8	ASCC2			Nucleus	Nucleus				
Q8N3C0	ASCC3								
P50553	ASCL1			Nucleus	Nucleus				
Q99929	ASCL2			Nucleus	Nucleus				
Q9NQ33	ASCL3	Nucleus	Nucleus	Nucleus	Nucleus				
Q6XD76	ASCL4	Nucleus	Nucleus	Nucleus	Nucleus				
Q7RTU5	ASCL5	Nucleus	Nucleus	Nucleus	Nucleus				
Q9Y294	ASF1A	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q9NVP2	ASF1B	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
P07306	ASGR1								
P07307	ASGR2								
Q9NR48	ASH1L								
Q9UBL3	ASH2L	Nucleus	Nucleus	Nucleus	Nucleus				
P78348	ASIC1			PM	PM		Mitochondrion		
Q16515	ASIC2								
Q9UHC3	ASIC3								
Q96FT7	ASIC4			PM	PM		Golgi		
Q9NY37	ASIC5	PM	PM	PM	PM				
P42127	ASIP								
P04424	ASL	Cytosol		Cytosol	cytosol		cytosol		Cytosol
P46597	ASMT			cytosol	cytosol				
O95671	ASMTL			cytosol	cytosol	cytosol			
O43681	ASNA1	Cytosol		Cytosol		Nucleus			Cytosol
P08243	ASNS	Cytosol		Cytosol	cytosol				Cytosol
Q9NWL6	ASNSD1			cytosol	cytosol				
P45381	ASPA						cytosol		
A6ND91	ASPDH						Nucleus		
Q86U10	ASPG								
Q12797	ASPH	ER		ER		ER		ER	ER
Q5U4P2	ASPHD1								
Q6ICH7	ASPHD2								
Q8IZT6	ASPM								
Q9BXN1	ASPN								
Q53RT3	ASPRV1						Nucleus		
Q9BZE9	ASPSCR1								
Q7L266	ASRGL1	Cytosol		Cytosol	cytosol				Cytosol
P00966	ASS1								
Q2TB18	ASTE1						ER		
Q6HA08	ASTL								
O14525	ASTN1			PM	PM				
O75129	ASTN2			endosome	endosome				
Q9NVM9	ASUN	Nucleus		Nucleus	cytosol	Nucleus			Nucleus
Q8IXJ9	ASXL1	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q76L83	ASXL2	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q9C0F0	ASXL3	Nucleus	Nucleus	Nucleus	Nucleus				
Q8WWH4	ASZ1								
Q8NBU5	ATAD1	Mitochondrion		Mitochondrion					Mitochondrion
Q6PL18	ATAD2	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
Q9ULI0	ATAD2B			Nucleus	Nucleus	Nucleus			
Q9NVI7	ATAD3A								
Q5T9A4	ATAD3B			Mitochondrion	Mitochondrion				
Q5T2N8	ATAD3C								
Q96QE3	ATAD5	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q5SQI0	ATAT1								
Q86WG3	ATCAY								
O95260	ATE1					Nucleus			
P18846	ATF1	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
P15336	ATF2	Nucleus		Nucleus		Nucleus			Nucleus
P18847	ATF3	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
P18848	ATF4								
Q9Y2D1	ATF5								
P18850	ATF6								
Q99941	ATF6B								
P17544	ATF7								
Q6VMQ6	ATF7IP	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
Q5U623	ATF7IP2			Nucleus	Nucleus				
Q9H0Y0	ATG10	cytosol	cytosol	cytosol	cytosol		Nucleus		
Q9BSB4	ATG101								
O94817	ATG12								
O75143	ATG13								
Q6ZNE5	ATG14								
Q676U5	ATG16L1						cytosol		
Q8NAA4	ATG16L2			CS	CS	Nucleus			
Q2TAZ0	ATG2A								
Q96BY7	ATG2B					Nucleus			
Q9NT62	ATG3	Cytosol	cytosol	Cytosol	cytosol				Cytosol
Q8WYN0	ATG4A	cytosol	cytosol	cytosol	cytosol		CS		
Q9Y4P1	ATG4B	cytosol	cytosol	cytosol	cytosol				
Q96DT6	ATG4C			cytosol	cytosol				
Q86TL0	ATG4D								
Q9H1Y0	ATG5	Cytosol		Cytosol			CS		Cytosol
O95352	ATG7								
Q7Z3C6	ATG9A								
Q674R7	ATG9B								
Q32M88	ATHL1						cytosol		
P31939	ATIC	Cytosol		Cytosol					Cytosol
Q8WXF7	ATL1								
Q8NHH9	ATL2	ER	ER	ER	ER			ER	ER
Q6DD88	ATL3	ER		ER	ER				ER
Q13315	ATM	Nucleus		Nucleus		Nucleus			Nucleus
O43313	ATMIN	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
P54259	ATN1					Nucleus			
Q92858	ATOH1	Nucleus	Nucleus	Nucleus	Nucleus				
Q8N100	ATOH7	Nucleus	Nucleus	Nucleus	Nucleus				
Q96SQ7	ATOH8								
O00244	ATOX1	Cytosol		Cytosol	cytosol				Cytosol
O60312	ATP10A								
O94823	ATP10B								
Q9P241	ATP10D								
P98196	ATP11A								
Q6ZP68	ATP11AUN								
Q9Y2G3	ATP11B						CS		
Q8NB49	ATP11C	Endosome		Endosome					Endosome
P54707	ATP12A								
Q9HD20	ATP13A1	ER		ER	ER				ER
Q9NQ11	ATP13A2			lysosome	lysosome				
Q9H7F0	ATP13A3	PM		PM					PM
Q4VNC1	ATP13A4						Nucleus		
Q4VNC0	ATP13A5								
P05023	ATP1A1	PM		PM				PM	PM
Q5TC04	ATP1A1-AS1								
P50993	ATP1A2			PM	PM				
P13637	ATP1A3	PM		PM	PM				PM
Q13733	ATP1A4								
